City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
313,Santa Cruz,BO,74.66,-17.8,-63.1667,Aviador Hotel Boutique
314,Gat,IL,64.4,31.61,34.7642,OlusHome
317,San Cristobal,VE,68.18,7.7669,-72.225,Pirineos
319,Hirara,JP,73.67,24.8,125.2833,Hotel Atoll Emerald Miyakojima
321,Cartagena Del Chaira,CO,71.69,1.3349,-74.8429,HOTEL LA ROCA
323,Poum,NC,79.18,-20.2333,164.0167, 
324,Kyaikto,MM,85.37,17.3,97.0167,နီလာ တည်းခိုခန်း
325,Guasdualito,VE,75.2,7.2424,-70.7324,Hotel Cuibas
330,Makakilo City,US,77.32,21.3469,-158.0858,Marriott's Ko Olina Beach Club
331,Pandan,PH,83.77,14.0453,124.1694,Bonifacio Lodge
334,Hambantota,LK,82.74,6.1241,81.1185,Bungalow 63
335,Adrar,MR,62.64,20.5022,-10.0711, 
336,Alugan,PH,82.94,12.2188,125.4808,JM Lodge
337,Kavieng,PG,85.91,-2.5744,150.7967,Nusa Island Retreat
340,Estacion Coahuila,MX,63.61,32.1939,-115.0017,MontseHouse
344,Petatlan,MX,75.33,17.5167,-101.2667,Hotel California Petatlán
345,Esmeraldas,BR,68.86,-19.7625,-44.3139,Forasteiro Pousada
350,Nouakchott,MR,60.73,18.0858,-15.9785,HOTEL IMAN
352,Kailua,US,78.78,21.4022,-157.7394,Sheffield House Bed & Breakfast
355,Dondo,MZ,71.11,-19.6094,34.7431,Pensao Casual
356,Formosa,AR,67.98,-26.1775,-58.1781,Asterión Departamentos
357,Kloulklubed,PW,82.9,7.0419,134.2556,Storyboard Beach Resort
358,Lodja,CD,66.56,-3.4833,23.4333, 
362,Vila Franca Do Campo,PT,61.21,37.7167,-25.4333,Pestana Bahia Praia
363,Bria,CF,69.21,6.5423,21.9863,WFP Guesthouse
365,San Juan,AR,81.7,-31.5375,-68.5364,Hotel Provincial
367,Damphu,BT,70.48,27.0721,90.1096, 
368,Tuy Hoa,VN,83.41,13.0833,109.3,Hotel Sài Gòn-Phú Yên
371,Cerritos,US,65.7,33.8583,-118.0648,Sheraton Cerritos Hotel
372,Inca,ES,61.0,39.7211,2.9109,Cas Comte Suites & Spa
374,Inhambane,MZ,76.98,-23.865,35.3833,Oceano
376,Sidney,AU,84.61,-33.8679,151.2073,The Grace Sydney
380,Santa Isabel Do Rio Negro,BR,72.1,-0.4139,-65.0192,Hotel GSA
386,Itupiranga,BR,80.92,-5.1347,-49.3267,Hotel Panorama
388,Kayes,ML,72.16,14.0,-11.0, 
389,Mount Darwin,ZW,68.25,-16.7725,31.5838, 
390,Bhadra,IN,68.86,29.1167,75.1667,Hotel Ganpati
392,Pangkalanbuun,ID,87.24,-2.6833,111.6167,Grand Kecubung Hotel
393,Umm Kaddadah,SD,66.85,13.6017,26.6876, 
395,Chokwe,MZ,72.99,-24.5333,32.9833,Complexo Sonho Real
399,Nakambala,ZM,66.85,-15.8324,27.7799,Staff Area
400,Port Hedland,AU,86.05,-20.3167,118.5667,The Esplanade Hotel
402,Puerto Carreno,CO,73.99,6.189,-67.4859,Casa Hotel Victoria
403,Zhuhai,CN,73.18,22.2769,113.5678,珠海粤财假日酒店
404,Padang,ID,75.25,-0.9492,100.3543,Mercure Padang
405,Camabatela,AO,60.12,-8.1881,15.375,Comércio e Prestação de Serviços
406,Saint-Joseph,RE,81.46,-21.3667,55.6167,"""Plantation Bed and Breakfast"
407,Sinnamary,GF,78.03,5.3833,-52.95,ALETHEIA Appartement Sinnamary
408,Viedma,AR,68.13,-40.8135,-62.9967,Hotel Cristal
409,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
411,Qui Nhon,VN,81.93,13.7667,109.2333,Seagull Hotel
412,Ypane,PY,66.38,-25.45,-57.5333,ASO De Capitanes
415,Moron,AR,77.02,-34.6534,-58.6198,Hotel Morón
416,Camana,PE,67.6,-16.6228,-72.7111,Hostal Morales
417,Kanniyakumari,IN,81.07,8.0833,77.5667,Sparsa Kanyakumari
418,Lashio,MM,75.99,22.9333,97.75,Hotel CF Lashio - Burmese Only
419,Da Nang,VN,84.18,16.0678,108.2208,Grand Mercure Danang
423,Ailigandi,PA,76.23,9.2333,-78.0167,Akwa Reef Lodge
425,Ponta Do Sol,PT,66.13,32.6667,-17.1,Hotel do Campo
426,Mecca,SA,76.41,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
429,Vung Tau,VN,82.35,10.346,107.0843,Seaside Resort
430,Barra Da Estiva,BR,64.11,-13.6261,-41.3269,Pousada Central
431,Meulaboh,ID,81.36,4.1363,96.1285,Kost Pria
432,Cabedelo,BR,77.67,-6.9811,-34.8339,Pousada Camboinha
434,Fukue,JP,66.56,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
435,Singaparna,ID,80.04,-7.3515,108.111,Wisma Dewi Hotel
437,Kudahuvadhoo,MV,81.63,2.6708,72.8944,Niyama Private Islands Maldives
444,Codrington,AU,60.33,-38.2667,141.9667, 
445,Puerto Leguizamo,CO,71.26,-0.1934,-74.7819,la casona de juancho
446,Forbes,AU,73.35,-33.3833,148.0167,Lake Forbes Motel
447,Naze,JP,70.72,28.3667,129.4833,Shishime Hotel
448,Kiunga,PG,89.6,-6.1219,141.2906,Airport Lodge Kiunga
449,Flinders,AU,68.25,-34.5833,150.8552,Shellharbour Resort & Conference Centre
450,Vallam,IN,82.45,10.7167,79.0833,Hotel NAADI NEST
454,Garchitorena,PH,84.02,13.8804,123.6946,Garchitorena Rest House
456,Luganville,VU,84.78,-15.5333,167.1667,The Espiritu Hotel
458,Bandarbeyla,SO,77.99,9.4942,50.8122,JABIR HOTEL
460,Clarence Town,AU,75.94,-32.5833,151.7833,River Downs Cottage
462,Kalmunai,LK,81.93,7.4167,81.8167,VS Villa
463,Burriana,ES,62.67,39.889,-0.085,Hotel Beatriz
464,Bardiyah,LY,60.33,31.7561,25.0865,بورتو بردية
466,Yen Bai,VN,73.18,21.7,104.8667,AK MOTEL
468,Cap Malheureux,MU,80.47,-19.9842,57.6142,Pereybere Hotel & Spa
472,Paso De Carrasco,UY,70.95,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
473,Vao,NC,74.08,-22.6667,167.4833,Hotel Kou-Bugny
480,Tabou,CI,77.74,4.423,-7.3528,hotêl doufoulougou
481,Pasni,PK,75.29,25.2631,63.471,Kashmiri Hotal
482,Luba,GQ,76.89,3.4568,8.5547, 
483,Cayenne,GF,75.24,4.9333,-52.3333,Hôtel Le Dronmi
485,Hobyo,SO,79.83,5.3505,48.5268,Halane Hotel and Restaurent
490,Redlands,US,64.44,34.0556,-117.1825,Dynasty Suites Redlands
493,Pimenta Bueno,BR,71.51,-11.6725,-61.1936,Cristalina Palace Hotel
497,Nabire,ID,83.05,-3.3667,135.4833,Hotel Nusantara I
499,Quatre Cocos,MU,80.1,-20.2078,57.7625,Sunrise Attitude Hotel
501,Lima,PE,66.9,-12.0432,-77.0282,Hotel Kamana
503,Duartina,BR,68.04,-22.4144,-49.4039,Hotel Mattos Guimaro
505,Kaeo,NZ,68.32,-35.1,173.7833,Bushido Lodge
507,Turbat,PK,73.56,26.0023,63.044,Mubashar Quarters
509,Kawalu,ID,79.66,-7.3817,108.2082,West Jontor
510,Boyolangu,ID,82.11,-8.1181,111.8935,Yos ega cv
511,Filingue,NE,70.11,14.3521,3.3168,Chez Zarkilou Issa
513,Huilong,CN,62.85,31.8111,121.655,Hilton Garden Inn Qidong
517,Ambilobe,MG,78.78,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
518,Lakes Entrance,AU,69.17,-37.8811,147.981,The Esplanade Resort & Spa
519,Kinshasa,CD,77.32,-4.3246,15.3215,Star Hotel II
520,Knysna,ZA,64.87,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
524,Lodwar,KE,80.29,3.1191,35.5973,Solmar Gracious Hotel
526,Kang,BW,69.66,-23.6752,22.7876,Kang Ultra Stop
528,Wonthaggi,AU,62.82,-38.6044,145.5913,Wonthaggi Caravans & Trailers
529,Bombay,IN,80.58,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
530,Pochutla,MX,75.81,15.7432,-96.4661,Hotel Posada San Jose
531,Kyabe,TD,78.06,9.4515,18.9449, 
532,Adre,TD,65.53,13.4667,22.2, 
533,Port Blair,IN,82.44,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
534,Soe,ID,78.91,-9.8607,124.284,Dena Hotel
535,Kikwit,CD,67.84,-5.041,18.8162,HOTEL PLACE YALABA
537,Bahia Honda,CU,75.74,22.9036,-83.1592,Casa Gualberto - Deysi
538,Poya,NC,79.52,-21.35,165.15, 
539,Jangaon,IN,78.82,17.7167,79.1833,Gabbeta real estate
542,Mayumba,GA,77.41,-3.432,10.6554,LIKWALE LODGE
543,Camacha,PT,65.62,33.0833,-16.3333,Hotel Porto Santo & Spa
546,Diamantino,BR,74.07,-14.4086,-56.4461,Hotel Delta
548,Kununurra,AU,78.78,-15.7667,128.7333,Hotel Kununurra
551,Vanimo,PG,80.37,-2.6741,141.3028,Vahmoneh Lodge Vanimo
553,Pocao De Pedras,BR,75.88,-4.6667,-44.85,Hotel Magazine
554,Caucaia,BR,80.04,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
556,Sharjah,AE,75.18,25.3573,55.4033,Swiss Belhotel Sharjah
558,Sao Jose Da Coroa Grande,BR,75.52,-8.8978,-35.1478,Crôa Mares Hotel
565,Road Town,VG,80.69,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
566,Yola,NG,70.92,9.2,12.4833,Muna Hotel
